48.1346212, 21.760332, 2021-09-09, 09:01, 22 
48.1346212, 21.760332, 2021-09-09, 09:01, 22 
48.1346212, 21.760332, 2021-09-10, 09:01, 22 
48.1910525, 21.8163816, 2021-09-17, 09:35, 19 
48.1346212, 21.760332, 2021-09-21, 09:49, 24 
48.1910525, 21.8163816, 2021-09-30, 10:03, 24 
48.1346212, 21.760332, 2021-10-01, 10:11, 17 
48.1910525, 21.8163816, 2021-10-07, 10:14, 25 
48.1346212, 21.760332, 2021-10-13, 10:21, 25 
48.1910525, 21.8163816, 2021-10-14, 10:54, 18 
48.1346212, 21.760332, 2021-10-15, 11:34, 15 
48.1537651, 21.6495714, 2021-10-18, 12:50, 17 
48.1537651, 21.6495714, 2021-10-19, 13:00, 22 
48.1537651, 21.6495714, 2021-10-25, 13:04, 21 
47.9517898, 21.7210184, 2021-10-26, 13:17, 16 
47.9517898, 21.7210184, 2021-10-28, 14:17, 21 
47.9517898, 21.7210184, 2021-11-04, 14:50, 16 
47.9517898, 21.7210184, 2021-11-05, 15:37, 25 
